feature,horizon,bucket_type,method,mean_top_minus_bottom,positive_spread_fraction,mean_monotonicity,n_periods
stablecoin_supply_z_90,2w,quintile,market_time_series,0.04602099998055623,1.0,0.7999999999999999,1
stablecoin_supply_z_90,2w,decile,market_time_series,0.02212718802073608,1.0,0.5636363636363636,1
stablecoin_supply_z_90,4w,quintile,market_time_series,-39.68177849219407,0.0,0.0,1
stablecoin_supply_z_90,4w,decile,market_time_series,-79.4350692496331,0.0,0.1515151515151515,1
stablecoin_supply_growth_30d,1w,quintile,market_time_series,0.03516218963930436,1.0,0.7999999999999999,1
stablecoin_supply_growth_30d,1w,decile,market_time_series,0.03740207943988426,1.0,0.43030303030303024,1
stablecoin_supply_growth_30d,2w,quintile,market_time_series,0.06831407290628334,1.0,0.7999999999999999,1
stablecoin_supply_growth_30d,2w,decile,market_time_series,0.0709166085742758,1.0,0.6363636363636362,1
stablecoin_supply_growth_30d,4w,quintile,market_time_series,-39.63453226568883,0.0,-0.09999999999999999,1
stablecoin_supply_growth_30d,4w,decile,market_time_series,-79.38515430575542,0.0,0.18787878787878787,1
tvl_growth_30d,1w,quintile,market_time_series,0.04568869713879176,1.0,0.8999999999999998,1
tvl_growth_30d,1w,decile,market_time_series,0.05805525361963368,1.0,0.8303030303030302,1
tvl_growth_30d,2w,quintile,market_time_series,0.07598826915748444,1.0,0.8999999999999998,1
tvl_growth_30d,2w,decile,market_time_series,0.0957270490957593,1.0,0.7818181818181817,1
tvl_growth_30d,4w,quintile,market_time_series,-39.65001812364457,0.0,-0.3,1
tvl_growth_30d,4w,decile,market_time_series,-79.36506865089761,0.0,0.06666666666666665,1
tvl_momentum_90d,1w,quintile,market_time_series,0.010954002302920643,1.0,-0.09999999999999999,1
tvl_momentum_90d,1w,decile,market_time_series,0.03636156694496363,1.0,0.06666666666666665,1
tvl_momentum_90d,2w,quintile,market_time_series,0.02045962223046042,1.0,0.19999999999999998,1
tvl_momentum_90d,2w,decile,market_time_series,0.07260092388197234,1.0,-0.07878787878787878,1
tvl_momentum_90d,4w,quintile,market_time_series,-39.720725076966055,0.0,-0.39999999999999997,1
tvl_momentum_90d,4w,decile,market_time_series,-79.41444645866552,0.0,-0.34545454545454546,1
trend_4h_7d,1w,quintile,asset_time_series,0.010111016225814708,1.0,0.39999999999999997,1
trend_4h_7d,1w,decile,asset_time_series,-0.004547937437600513,0.0,0.2121212121212121,1
trend_4h_7d,2w,quintile,asset_time_series,0.04897235964511781,1.0,0.09999999999999999,1
trend_4h_7d,2w,decile,asset_time_series,0.06224249404344198,1.0,0.309090909090909,1
trend_4h_7d,4w,quintile,asset_time_series,-39.69612663881073,0.0,-0.3,1
trend_4h_7d,4w,decile,asset_time_series,-79.44524221333657,0.0,0.07878787878787878,1
trend_4h_14d,1w,quintile,asset_time_series,0.03763841048382897,1.0,0.19999999999999998,1
trend_4h_14d,1w,decile,asset_time_series,0.032569803089597456,1.0,0.19999999999999998,1
trend_4h_14d,2w,quintile,asset_time_series,0.07883224680357569,1.0,0.3,1
trend_4h_14d,2w,decile,asset_time_series,0.07410374480133652,1.0,0.33333333333333326,1
trend_4h_14d,4w,quintile,asset_time_series,-39.64180023085326,0.0,-0.09999999999999999,1
trend_4h_14d,4w,decile,asset_time_series,-79.4032636485602,0.0,0.35757575757575755,1
volatility_4h_7d,1w,quintile,asset_time_series,0.02825009984198866,1.0,0.7,1
volatility_4h_7d,1w,decile,asset_time_series,0.03295716033176913,1.0,0.33333333333333326,1
volatility_4h_7d,2w,quintile,asset_time_series,0.03736992346953128,1.0,0.7,1
